similarity
inf
inf
1.0380768119509263
inf
inf
inf
1.1055312880242893
inf
inf
inf
inf
inf
inf
1.0732421337533178
0.919259819529704
inf
inf
inf
1.0499165411029308
inf
1.0513829916852644
0.0
0.0
0.0
