boleano,tf,tfdf,embedding,sentence_embeddings
0.43946651035978984,0.6091690642281882,0.5471595512863376,0.6779488297179341,0.2704818162310403
0.7626379191650532,0.8013654582566648,0.7810967695075128,0.5682828181112806,0.1754856353630506
0.4621033086180098,0.6095205595313468,0.5573634958402777,0.548954498882477,0.19535898187985787
0.555622020439411,0.6253749304760672,0.5857230973834263,0.66174995987431,0.18178502878321237
0.41306079031596626,0.45271190444575504,0.4296131244645541,0.48200631737709043,0.19342489450438213
0.736899676036684,0.8050132179666644,0.7797748999382356,0.7192342079111508,0.17091325542978233
0.8025760246902022,0.8410770112127607,0.8189163478045679,0.7434895382927996,0.1943917990174322
0.4010437212182643,0.5383122837914951,0.5007082041788867,0.595533372268879,0.18911535805091262
0.5300348973919518,0.669881621537038,0.6350961510273962,0.5429397446413835,0.2964314921293408
0.3201063113672366,0.3012031910685955,0.28456098262183743,0.5446477377166351,0.28818912416075665
0.4394945870472158,0.5322693032085648,0.4989012249153589,0.6559727489948273,0.1389009552076459
0.537076580589908,0.581759687052093,0.5496090924388775,0.6522080327727293,0.1755093212429385
0.3956690587915649,0.5050272833158527,0.4528356362578956,0.531846887503679,0.30368753916476493
0.7586895526615449,0.6933535087679485,0.67870111326547,0.4512370228767395,0.18950560730364588
0.3898049616885256,0.4344141917851917,0.3762407507525618,0.7309884031613668,0.3801757472877701
0.31577132159593446,0.3593129421759866,0.32496491978721614,0.5366673113571273,0.24099878316014334
0.5104688517047544,0.6465798267167149,0.602109694360242,0.610350956567205,0.27802584485974735
0.5371130060919304,0.5775331216425708,0.5546706520056823,0.60644164453778,0.17861764294233312
0.7017323886075892,0.7846465916342368,0.7506492453059402,0.4743613480693764,0.13827337860129774
0.5863167682236264,0.652036653528823,0.6178592849029284,0.6257913242360311,0.12208568943356762
0.5823922979038366,0.6194312924026993,0.5933975139236294,0.7115234263015516,0.10450111064269688
0.3798489953821537,0.4745811085500335,0.3995702893756358,0.7828372667233149,0.47061871985594433
0.5056400310139125,0.5689360002836041,0.5345728501740226,0.5533192409918859,0.23758974596813248
0.6057697260256029,0.639445880580541,0.6099158750678988,0.5221386431819863,0.2326229992840025
0.5535954931160767,0.6049140480980333,0.5582250076449767,0.5896124177715845,0.3121203779424023
0.32002569034180917,0.43822698035440766,0.38684990760003407,0.5996659367034832,0.25560749445058817
0.45865351125356213,0.46992982383296567,0.4335125151543144,0.613631496950984,0.11423231000080705
0.3340355061273375,0.37616273737508044,0.33153630812846135,0.5782981883320544,0.19675733279412574
0.5909385532074936,0.6859571368559516,0.6321467902586093,0.7176386091325965,0.19786329806083813
0.4349476147043784,0.5618149761807172,0.5263731234874106,0.7070098631083965,0.30505425157025456
0.42858103176606815,0.5022049903426312,0.477684486530382,0.5535315432718821,0.26849327578342386
0.44434077189140436,0.5812863106102132,0.5095118872090934,0.6975397944450379,0.23354574516415597
